Repetitions,Load,Query 1,Query 2,Query 3,Query 4,Query 5a,Query 6,Query 7,
1,184667,1316,9040,8904,20,3879,8131,69,
2,,1288,8852,9220,20,3865,8115,68,
3,,1318,9287,9088,21,3874,8116,71,
4,,1299,9430,9992,20,3866,8072,70,
5,,1296,9336,9407,20,3970,8640,74,
6,,1325,9219,9444,20,4122,8084,68,
7,,1294,8918,9225,20,3860,8092,66,
8,,1295,8768,9437,20,3864,8096,70,
9,,1278,9304,10680,19,3876,8041,69,
10,,1310,9449,9284,20,3856,8127,69,Total
AVG,184667,1301.9,9160.3,9468.1,20,3903.2,8151.4,69.4,216741.3